Respondent_Serial,Main Brand,Service provider,Month,City,Region,Detailed_Nationality,Nationality,Gender,Performance,Preference,TRIM_Score
10020572,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,5,5,5
10013878,Mobily - Prepaid,Mobily,Jun'18,AL QATIF,Eastern,Saudis,Nationals,Female,3,1,2
10019716,Mobile - Data SIM,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,1,3,2
10010893,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Other (specify):,Expat Asians,Male,5,5,5
10023793,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Pakistani,Expat Asians,Male,3,4,3.5
10017278,Mobily - Prepaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,4,4
10020155,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,5,5,5
10019443,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
10020082,Mobily - Postpaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,5,5,5
10024949,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,5,5,5
10024411,Mobily - Postpaid,Mobily,Jun'18,YANBU AN NAKHL,Northern,Saudis,Nationals,Male,2,1,1.5
10024077,Mobily - Postpaid,Mobily,Jun'18,BURAYDAH,Central,Saudis,Nationals,Male,3,3,3
10024696,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,3,2,2.5
10021836,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,3,2,2.5
10024384,Mobily - Postpaid,Mobily,Jun'18,AL JUBAIL,Eastern,Saudis,Nationals,Male,3,3,3
10022613,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,4,1,2.5
10024170,Mobily - Postpaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,2,2,2
10022692,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,1,1,1
10024009,Mobily - Postpaid,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,5,5,5
10024207,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,5,5,5
10024127,Mobily - Internet on Mobile,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,4,4
10024266,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,2,4,3
10023049,Mobily - Internet on Mobile,Mobily,Jun'18,YANBU AN NAKHL,Northern,Indian,Expat Asians,Male,5,4,4.5
10023267,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,4,5,4.5
10022189,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,5,4,4.5
10022002,Mobily - Prepaid,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,1,1,1
10022618,Mobile - Data SIM,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,2,2,2
10024045,Mobile - Data SIM,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,4,5,4.5
10022946,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
10022567,Mobily - Prepaid,Mobily,Jun'18,AL BAHA,Southern,Saudis,Nationals,Male,1,3,2
10023148,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,4,3.5
10023297,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Indian,Expat Asians,Male,3,3,3
10022863,Mobily - Internet on Mobile,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,4,3,3.5
10022322,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
10022216,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,5,5,5
10024435,Mobily - Internet on Mobile,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
10024947,Mobile - Data SIM,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,1,1,1
10024022,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
10024175,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,3,3,3
10021337,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Indian,Expat Asians,Male,5,5,5
10024211,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
10024552,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,5,5,5
10024325,Mobily - Internet on Mobile,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,2,2.5
10022773,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,2,2,2
10021821,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
10021105,Mobily - Prepaid,Mobily,Jun'18,AD DAMMAM,Eastern,Philippines,Expat Asians,Male,5,5,5
10022470,Mobily - Prepaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,2,2.5
10023494,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,4,5,4.5
10022993,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,2,2.5
10022186,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,5,3,4
10022129,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,4,3,3.5
10024296,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,3,2,2.5
10022365,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,4,3,3.5
10024316,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,4,3.5
10022110,Mobily - Postpaid,Mobily,Jun'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,2,2,2
10022729,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
10022878,Mobily - Prepaid,Mobily,Jun'18,AL HUFUF,Eastern,Saudis,Nationals,Male,3,3,3
10022467,Mobily - Prepaid,Mobily,Jun'18,AT TAIF,Western,Saudis,Nationals,Female,5,5,5
10023827,Mobily - Prepaid,Mobily,Jun'18,AL KHUBAR,Eastern,Philippines,Expat Asians,Female,4,4,4
10023940,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
10024844,Mobily - Postpaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,4,4,4
10023755,Mobily - Postpaid,Mobily,Jun'18,AL KHUBAR,Eastern,Pakistani,Expat Asians,Male,1,1,1
10024236,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Female,3,2,2.5
